id,preco
"1,35188E+37",5609257274942554.0
"2,99896E+38",6066261155960788.0
"3,16181E+38",1.0397902762370608e+16
"2,22527E+38",1.1542904045700996e+16
"1,6046E+38",7494830225295728.0
"2,62727E+38",6816099710702675.0
"2,54094E+38",7332983930910935.0
"2,61182E+37",4819642170655733.0
"2,16525E+35",5819216109204968.0
"1,85631E+38",1.233453908549472e+16
"1,93326E+38",1.228427907693895e+16
"2,38918E+38",8921406063325682.0
"5,54308E+37",6185353285031783.0
"2,15318E+38",4883017905193264.0
"8,15972E+37",1.3769636398496598e+16
"1,44897E+38",7579822746029200.0
"1,846E+38",6699152113029752.0
"3,32524E+38",9691653123596364.0
"1,15344E+38",9951271813997348.0
"2,07572E+37",8268043332571771.0
"1,85526E+38",5470409742361619.0
"6,0658E+37",5943896956858514.0
"2,5247E+38",6991723092912530.0
"1,44289E+38",7448436444631385.0
"2,86705E+38",4098255235114084.5
"1,04788E+38",8909280326659077.0
"8,30916E+37",6372250061097112.0
"2,53819E+38",9151704167344270.0
"4,75521E+37",4237651332227573.5
"1,43933E+38",1.2135568693354832e+16
"1,96346E+38",7604734843241990.0
"2,44793E+38",5765615579285082.0
"8,45899E+37",5661803592295056.0
"2,722E+38",7111929210991372.0
"4,99594E+37",7750332054318339.0
"2,81027E+38",8410567788901752.0
"9,30746E+37",7643478573775202.0
"2,67284E+37",4338970881426439.0
"1,88212E+38",8504362200912939.0
"7,24879E+37",1.0056423158209302e+16
"2,28864E+38",5084998167972571.0
"1,12454E+38",8876261365549536.0
"2,22663E+38",7391483405099874.0
"1,743E+38",3552897566927486.5
"6,56161E+37",6411526877832607.0
"1,25124E+37",9094188342043382.0
"3,36344E+38",4658496596359263.0
"7,95223E+37",4067426106408005.0
"8,26898E+37",5582043827230437.0
"1,45087E+38",4960765161182707.0
"1,4838E+38",9925363868442810.0
"8,17834E+37",7620744915061920.0
"1,7392E+37",5658277039605892.0
"2,21004E+38",8246383792223311.0
"3,2271E+37",1.017579479854748e+16
"4,47434E+37",9795076576388864.0
"2,5674E+38",7756164656573688.0
"1,0207E+38",8534941879064887.0
"2,95239E+38",1.243793966449872e+16
"2,17044E+38",7450896781631076.0
"2,3063E+38",6626779872633974.0
"2,28795E+38",5141741145764678.0
"2,26883E+38",9091177551335594.0
"1,78728E+38",7036721980584188.0
"2,33324E+38",4441257110366558.5
"1,20197E+38",6859288004510516.0
"3,07588E+38",3547181184724592.0
"1,47918E+38",7312633207969060.0
"3,22862E+38",9117473495979680.0
"2,39523E+38",1.1168915022443986e+16
"1,1351E+38",5263253306662340.0
"1,09891E+38",8888923402590120.0
"1,40473E+37",6083323396504589.0
"1,85049E+38",6658808213975992.0
